[2025-10-27 14:14:11] [Usuario: root] [IP: ::1] - Producto Quesada desactivado.
[2025-10-27 15:53:30] [Usuario: admin] [IP: ::1] - Nuevo insumo registrado (Arróz, cantidad = 2000gr)
[2025-10-27 15:54:08] [Usuario: admin] [IP: ::1] - Nuevo insumo registrado (Pollo, cantidad = 5000gr)
[2025-10-27 16:03:37] [Usuario: admin] [IP: ::1] - 5000gr de Arróz agragados
[2025-10-27 16:04:38] [Usuario: admin] [IP: ::1] - Nuevo insumo registrado (Queso Mozzarrella, cantidad = 5000gr)
[2025-10-27 16:05:05] [Usuario: admin] [IP: ::1] - Nuevo insumo registrado (Carne de Res, cantidad = 10000gr)
[2025-10-27 16:05:38] [Usuario: admin] [IP: ::1] - Nuevo insumo registrado (Pasta, cantidad = 2000gr)
[2025-10-27 16:06:24] [Usuario: admin] [IP: ::1] - Nuevo insumo registrado (Tomate, cantidad = 5000gr)
[2025-10-27 16:06:41] [Usuario: admin] [IP: ::1] - Nuevo insumo registrado (Cebolla, cantidad = 5000gr)
[2025-10-27 16:07:15] [Usuario: admin] [IP: ::1] - Nuevo insumo registrado (Jamón, cantidad = 5000gr)
[2025-10-27 16:07:48] [Usuario: admin] [IP: ::1] - Nuevo insumo registrado (Camarones, cantidad = 5000gr)
[2025-10-27 16:08:17] [Usuario: admin] [IP: ::1] - Nuevo insumo registrado (Pepperonni, cantidad = 2000gr)
[2025-10-27 16:09:26] [Usuario: admin] [IP: ::1] - Nuevo insumo registrado (Carne de cordero, cantidad = 5000gr)
